,index,StationName,Number,x,y,z,lon,lat,alt,S_in_HG_x,S_in_HG_y,S_in_HG_z,P_in_HG_x,P_in_HG_y,P_in_HG_z,P_on_POS_x,P_on_POS_y,visible,Mars_angle_deg
0,6,HH,32,5085.4427637,2668.2637913000003,-2768.6967523,27.685395408990622,-25.738992059543328,6372.505126968454,-92977695.94269659,-115996609.33770445,17077769.888722457,-2361291.9912617556,2178231.34327617,1938695.2190215432,-3204804.3972646464,1951450.6348759616,1,36.54425544786151
1,12,BD,38,-838.2011031,3865.7515547000003,4987.6708919,102.23392224298767,51.58315127075564,6362.811469206707,-92980118.86742724,-115996881.01859988,17087295.664169986,-2361741.533741273,2179435.28307873,1944423.977032016,-3205908.1570817395,1957217.084572075,1,67.098197769709
2,17,JS,6,-2872.64,3331.38,4603.41,130.77110965238418,46.30160777961144,6364.228895016007,-92982217.16064614,-115997105.34506296,17087640.619561676,-2362472.7151841284,2180038.851427042,1944542.6398773815,-3206856.173514653,1957336.5281455964,1,81.00947941229904
3,19,YG,1000,-2389.008,5043.332,-3078.526,115.34674438549911,-28.8835170816861,6370.375016012491,-92984209.10441624,-115993540.7301354,17080895.065418027,-2364569.07170085,2181124.7167390976,1940505.3764866898,-3209171.0444261394,1953272.7020580156,1,58.96747408710878
